fecha,aforo,temp_max,temp_min,clima,vuelos,cruceros,dia_semana,mes,semana,festivo_valencia,festivo_nacional,festivo_andalucia,festivo_madrid,festivo_cataluna,aforo_t-1,aforo_t-7,aforo_mean_7
2020-02-10,3095,18.6,5.2,0,57,2,0,2,7,0,0,0,0,0,3486.0,2344.0,2839.7
2020-02-11,3230,16.2,4.2,0,61,1,1,2,7,0,0,0,0,0,3095.0,2858.0,2947.0
2020-02-12,3024,10.2,6.7,0,54,3,2,2,7,0,0,0,0,0,3230.0,2583.0,3000.1
2020-02-13,3296,14.2,9.5,2,60,1,3,2,7,0,0,0,0,0,3024.0,2496.0,3063.1
2020-02-14,2554,17.6,7.4,0,50,2,4,2,7,0,0,0,0,0,3296.0,2380.0,3177.4
2020-02-15,3620,15.2,8.1,1,88,1,5,2,7,0,0,0,0,0,2554.0,3731.0,3202.3
2020-02-16,2864,14.7,7.6,0,80,2,6,2,7,0,0,0,0,0,3620.0,3486.0,3186.4
2020-02-17,2565,15.8,6.0,0,39,1,0,2,8,0,0,0,0,0,2864.0,3095.0,3097.6
2020-02-18,2670,12.8,8.2,0,52,2,1,2,8,0,0,0,0,0,2565.0,3230.0,3021.9
2020-02-19,2270,15.0,7.5,0,40,2,2,2,8,0,0,0,0,0,2670.0,3024.0,2941.9
2020-02-20,3327,13.5,8.9,3,73,2,3,2,8,0,0,0,0,0,2270.0,3296.0,2834.1
2020-02-21,2484,14.0,5.1,1,46,1,4,2,8,0,0,0,0,0,3327.0,2554.0,2838.6
2020-02-22,3022,15.7,2.5,2,86,2,5,2,8,0,0,0,0,0,2484.0,3620.0,2828.6
2020-02-23,3904,12.1,8.1,2,79,3,6,2,8,0,0,0,0,0,3022.0,2864.0,2743.1
2020-02-24,2289,16.6,6.7,0,37,2,0,2,9,0,0,0,0,0,3904.0,2565.0,2891.7
2020-02-25,2494,13.2,5.4,2,31,2,1,2,9,0,0,0,0,0,2289.0,2670.0,2852.3
2020-02-26,2943,14.5,5.5,0,57,3,2,2,9,0,0,0,0,0,2494.0,2270.0,2827.1
2020-02-27,2585,11.2,11.1,0,65,2,3,2,9,0,0,0,0,0,2943.0,3327.0,2923.3
2020-02-28,3354,15.4,4.7,0,42,4,4,2,9,0,0,1,0,0,2585.0,2484.0,2817.3
2020-02-29,2637,16.9,4.3,0,63,1,5,2,9,0,0,0,0,0,3354.0,3022.0,2941.6
2020-03-01,3753,17.0,8.2,0,76,3,6,3,9,0,0,0,0,0,2637.0,3904.0,2886.6
2020-03-02,2598,15.8,10.4,0,40,2,0,3,10,0,0,0,0,0,3753.0,2289.0,2865.0
2020-03-03,2211,18.6,12.6,2,43,1,1,3,10,0,0,0,0,0,2598.0,2494.0,2909.1
2020-03-04,2965,20.9,9.3,0,56,1,2,3,10,0,0,0,0,0,2211.0,2943.0,2868.7
2020-03-05,2814,15.1,5.5,0,49,1,3,3,10,0,0,0,0,0,2965.0,2585.0,2871.9
2020-03-06,2578,15.8,11.9,0,41,2,4,3,10,0,0,0,0,0,2814.0,3354.0,2904.6
2020-03-07,3018,17.1,8.0,0,85,3,5,3,10,0,0,0,0,0,2578.0,2637.0,2793.7
2020-03-08,4008,16.4,6.3,2,86,2,6,3,10,0,0,0,0,0,3018.0,3753.0,2848.1
2020-03-09,2490,16.4,5.8,0,46,2,0,3,11,0,0,0,0,0,4008.0,2598.0,2884.6
2020-03-10,2570,13.8,9.7,3,51,2,1,3,11,0,0,0,0,0,2490.0,2211.0,2869.1
2020-03-11,2750,19.2,8.5,1,55,1,2,3,11,0,0,0,0,0,2570.0,2965.0,2920.4
2020-03-12,3176,18.7,8.7,0,54,2,3,3,11,0,0,0,0,0,2750.0,2814.0,2889.7
2020-03-13,2568,14.6,10.6,0,50,2,4,3,11,0,0,0,0,0,3176.0,2578.0,2941.4
2020-03-14,3700,20.9,6.4,2,94,2,5,3,11,0,0,0,0,0,2568.0,3018.0,2940.0
2020-03-15,3808,21.4,10.7,1,85,1,6,3,11,0,0,0,0,0,3700.0,4008.0,3037.4
2020-03-16,2858,16.5,7.0,1,45,1,0,3,12,0,0,0,0,0,3808.0,2490.0,3008.9
2020-03-17,2795,20.3,12.3,1,45,2,1,3,12,0,0,0,0,0,2858.0,2570.0,3061.4
2020-03-18,2292,16.9,9.2,0,44,2,2,3,12,0,0,0,0,0,2795.0,2750.0,3093.6
2020-03-19,2974,18.4,6.2,0,56,1,3,3,12,1,0,0,0,0,2292.0,3176.0,3028.1
2020-03-20,2346,16.3,3.9,0,43,1,4,3,12,0,0,0,0,0,2974.0,2568.0,2999.3
2020-03-21,3107,22.4,9.6,2,75,4,5,3,12,0,0,0,0,0,2346.0,3700.0,2967.6
2020-03-22,3267,17.4,7.3,1,90,1,6,3,12,0,0,0,0,0,3107.0,3808.0,2882.9
2020-03-23,2786,18.3,7.7,0,51,1,0,3,13,0,0,0,0,0,3267.0,2858.0,2805.6
2020-03-24,3341,16.6,9.5,0,61,1,1,3,13,0,0,0,0,0,2786.0,2795.0,2795.3
2020-03-25,2745,21.7,10.0,0,57,4,2,3,13,0,0,0,0,0,3341.0,2292.0,2873.3
2020-03-26,2711,21.8,10.4,0,38,1,3,3,13,0,0,0,0,0,2745.0,2974.0,2938.0
2020-03-27,2652,21.3,5.7,1,48,1,4,3,13,0,0,0,0,0,2711.0,2346.0,2900.4
2020-03-28,4047,19.9,10.9,1,89,2,5,3,13,0,0,0,0,0,2652.0,3107.0,2944.1
2020-03-29,3690,16.8,6.8,2,67,2,6,3,13,0,0,0,0,0,4047.0,3267.0,3078.4
2020-03-30,2754,19.7,3.5,0,54,4,0,3,14,0,0,0,0,0,3690.0,2786.0,3138.9
2020-03-31,2391,18.0,5.6,0,49,3,1,3,14,0,0,0,0,0,2754.0,3341.0,3134.3
2020-04-01,2568,23.6,12.4,1,32,4,2,4,14,0,0,0,0,0,2391.0,2745.0,2998.6
2020-04-02,3143,23.2,10.0,1,51,2,3,4,14,0,0,0,0,0,2568.0,2711.0,2973.3
2020-04-03,2538,19.7,11.8,0,41,1,4,4,14,0,0,0,0,0,3143.0,2652.0,3035.0
2020-04-04,3190,22.9,12.7,1,68,5,5,4,14,0,0,0,0,0,2538.0,4047.0,3018.7
2020-04-05,3984,22.4,11.6,0,80,6,6,4,14,0,0,0,0,0,3190.0,3690.0,2896.3
2020-04-06,2086,15.5,11.0,0,30,2,0,4,15,0,0,0,0,0,3984.0,2754.0,2938.3
2020-04-07,2683,22.6,9.5,0,43,3,1,4,15,0,0,0,0,0,2086.0,2391.0,2842.9
2020-04-08,2844,20.1,12.0,0,75,2,2,4,15,0,0,0,0,0,2683.0,2568.0,2884.6
2020-04-09,3855,19.2,7.9,0,56,1,3,4,15,0,0,1,1,0,2844.0,3143.0,2924.0
2020-04-10,6772,19.3,10.6,0,41,1,4,4,15,1,1,1,1,1,3855.0,2538.0,3025.7
2020-04-11,3874,20.7,10.1,1,94,6,5,4,15,0,0,0,0,0,6772.0,3190.0,3630.6
2020-04-12,3042,22.0,11.5,0,70,4,6,4,15,0,0,0,0,0,3874.0,3984.0,3728.3
2020-04-13,4089,18.3,11.6,0,44,3,0,4,16,1,0,0,0,1,3042.0,2086.0,3593.7
2020-04-14,2289,21.4,13.9,2,38,1,1,4,16,0,0,0,0,0,4089.0,2683.0,3879.9
2020-04-15,2806,22.2,15.2,0,52,2,2,4,16,0,0,0,0,0,2289.0,2844.0,3823.6
2020-04-16,3282,24.7,9.8,0,63,1,3,4,16,0,0,0,0,0,2806.0,3855.0,3818.1
2020-04-17,2240,18.8,16.0,1,40,2,4,4,16,0,0,0,0,0,3282.0,6772.0,3736.3
2020-04-18,3391,20.3,10.4,0,59,6,5,4,16,0,0,0,0,0,2240.0,3874.0,3088.9
2020-04-19,4739,21.5,12.3,0,90,7,6,4,16,0,0,0,0,0,3391.0,3042.0,3019.9
2020-04-20,3537,23.3,13.0,0,65,2,0,4,17,0,0,0,0,0,4739.0,4089.0,3262.3
2020-04-21,2142,20.4,16.9,0,30,2,1,4,17,0,0,0,0,0,3537.0,2289.0,3183.4
2020-04-22,2636,23.4,10.9,2,54,2,2,4,17,0,0,0,0,0,2142.0,2806.0,3162.4
2020-04-23,3073,17.1,8.4,2,52,1,3,4,17,0,0,0,0,0,2636.0,3282.0,3138.1
2020-04-24,2520,18.5,15.0,1,42,3,4,4,17,0,0,0,0,0,3073.0,2240.0,3108.3
2020-04-25,3439,21.7,10.3,2,66,5,5,4,17,0,0,0,0,0,2520.0,3391.0,3148.3
2020-04-26,4274,18.2,11.3,2,89,5,6,4,17,0,0,0,0,0,3439.0,4739.0,3155.1
2020-04-27,2769,18.7,9.8,0,51,1,0,4,18,0,0,0,0,0,4274.0,3537.0,3088.7
2020-04-28,3142,19.9,11.3,2,52,3,1,4,18,0,0,0,0,0,2769.0,2142.0,2979.0
2020-04-29,2513,22.5,10.3,0,43,3,2,4,18,0,0,0,0,0,3142.0,2636.0,3121.9
2020-04-30,2588,17.2,13.4,2,41,1,3,4,18,0,0,0,0,0,2513.0,3073.0,3104.3
2020-05-01,9005,25.3,15.2,2,25,2,4,5,18,1,1,1,1,1,2588.0,2520.0,3035.0
2020-05-02,4357,27.1,13.6,0,77,4,5,5,18,0,0,0,1,0,9005.0,3439.0,3961.4
2020-05-03,4517,24.6,17.0,0,94,5,6,5,18,0,0,0,0,0,4357.0,4274.0,4092.6
2020-05-04,2294,24.3,15.5,0,41,1,0,5,19,0,0,0,0,0,4517.0,2769.0,4127.3
2020-05-05,2721,25.8,11.3,0,34,3,1,5,19,0,0,0,0,0,2294.0,3142.0,4059.4
2020-05-06,2688,24.6,16.8,2,54,3,2,5,19,0,0,0,0,0,2721.0,2513.0,3999.3
2020-05-07,3238,27.8,15.4,2,56,2,3,5,19,0,0,0,0,0,2688.0,2588.0,4024.3
2020-05-08,2340,22.8,17.8,0,44,2,4,5,19,0,0,0,0,0,3238.0,9005.0,4117.1
2020-05-09,3919,24.9,15.2,0,76,7,5,5,19,0,0,0,0,0,2340.0,4357.0,3165.0
2020-05-10,4250,25.4,13.4,0,82,4,6,5,19,0,0,0,0,0,3919.0,4517.0,3102.4
2020-05-11,2945,24.2,14.6,0,48,1,0,5,20,0,0,0,0,0,4250.0,2294.0,3064.3
2020-05-12,2918,19.3,16.6,0,60,2,1,5,20,0,0,0,0,0,2945.0,2721.0,3157.3
2020-05-13,2978,24.7,13.5,0,74,2,2,5,20,0,0,0,0,0,2918.0,2688.0,3185.4
2020-05-14,2534,26.8,14.1,2,32,2,3,5,20,0,0,0,0,0,2978.0,3238.0,3226.9
2020-05-15,3244,26.6,14.6,0,62,4,4,5,20,0,0,0,0,0,2534.0,2340.0,3126.3
2020-05-16,4330,25.7,12.7,0,81,5,5,5,20,0,0,0,0,0,3244.0,3919.0,3255.4
2020-05-17,4396,22.8,13.5,1,93,4,6,5,20,0,0,0,0,0,4330.0,4250.0,3314.1
2020-05-18,2525,25.8,15.3,0,57,1,0,5,21,0,0,0,0,0,4396.0,2945.0,3335.0
2020-05-19,2400,23.9,17.4,3,50,2,1,5,21,0,0,0,0,0,2525.0,2918.0,3275.0
2020-05-20,2707,25.7,15.6,3,57,2,2,5,21,0,0,0,0,0,2400.0,2978.0,3201.0
2020-05-21,2845,25.2,14.9,0,46,1,3,5,21,0,0,0,0,0,2707.0,2534.0,3162.3
2020-05-22,2226,23.0,13.3,0,42,1,4,5,21,0,0,0,0,0,2845.0,3244.0,3206.7
2020-05-23,3368,23.2,17.2,0,88,4,5,5,21,0,0,0,0,0,2226.0,4330.0,3061.3
2020-05-24,3736,25.7,15.9,0,71,4,6,5,21,0,0,0,0,0,3368.0,4396.0,2923.9
2020-05-25,2698,24.6,13.6,0,56,1,0,5,22,0,0,0,0,0,3736.0,2525.0,2829.6
2020-05-26,2419,23.3,16.8,1,50,1,1,5,22,0,0,0,0,0,2698.0,2400.0,2854.3
2020-05-27,2068,23.2,16.1,0,26,2,2,5,22,0,0,0,0,0,2419.0,2707.0,2857.0
2020-05-28,2806,24.4,13.4,0,44,2,3,5,22,0,0,0,0,0,2068.0,2845.0,2765.7
2020-05-29,2857,28.1,14.8,0,53,3,4,5,22,0,0,0,0,0,2806.0,2226.0,2760.1
2020-05-30,3305,23.9,14.0,2,75,5,5,5,22,0,0,0,0,0,2857.0,3368.0,2850.3
2020-05-31,3166,25.0,20.3,0,54,5,6,5,22,0,0,0,0,0,3305.0,3736.0,2841.3
2020-06-01,3798,29.2,21.1,0,93,3,0,6,23,0,0,0,0,0,3166.0,2698.0,2759.9
2020-06-02,2855,26.7,20.4,0,81,2,1,6,23,0,0,0,0,0,3798.0,2419.0,2917.0
2020-06-03,3969,25.5,20.9,3,84,3,2,6,23,0,0,0,0,0,2855.0,2068.0,2979.3
2020-06-04,3838,26.9,22.8,0,75,1,3,6,23,0,0,0,0,0,3969.0,2806.0,3250.9
2020-06-05,3137,29.5,19.8,1,85,3,4,6,23,0,0,0,0,0,3838.0,2857.0,3398.3
2020-06-06,3514,29.2,18.8,1,98,4,5,6,23,0,0,0,0,0,3137.0,3305.0,3438.3
2020-06-07,4048,30.4,21.7,0,72,4,6,6,23,0,0,0,0,0,3514.0,3166.0,3468.1
2020-06-08,4046,29.2,19.7,1,96,2,0,6,24,0,0,0,0,0,4048.0,3798.0,3594.1
2020-06-09,4104,28.8,17.9,0,83,2,1,6,24,0,0,0,0,0,4046.0,2855.0,3629.6
2020-06-10,3074,27.8,17.5,1,71,2,2,6,24,0,0,0,0,0,4104.0,3969.0,3808.0
2020-06-11,4024,30.8,23.1,1,102,4,3,6,24,0,0,0,0,0,3074.0,3838.0,3680.1
2020-06-12,2976,27.2,20.3,0,83,1,4,6,24,0,0,0,0,0,4024.0,3137.0,3706.7
2020-06-13,3222,26.8,18.8,0,86,4,5,6,24,0,0,0,0,0,2976.0,3514.0,3683.7
2020-06-14,3628,30.1,19.5,2,77,7,6,6,24,0,0,0,0,0,3222.0,4048.0,3642.0
2020-06-15,3150,26.3,21.6,0,72,1,0,6,25,0,0,0,0,0,3628.0,4046.0,3582.0
2020-06-16,3178,33.8,19.4,0,81,1,1,6,25,0,0,0,0,0,3150.0,4104.0,3454.0
2020-06-17,4401,29.2,17.1,0,95,4,2,6,25,0,0,0,0,0,3178.0,3074.0,3321.7
2020-06-18,3632,29.7,20.7,0,76,2,3,6,25,0,0,0,0,0,4401.0,4024.0,3511.3
2020-06-19,3800,27.4,22.4,1,79,1,4,6,25,0,0,0,0,0,3632.0,2976.0,3455.3
2020-06-20,4091,28.4,22.3,0,94,5,5,6,25,0,0,0,0,0,3800.0,3222.0,3573.0
2020-06-21,3036,28.1,18.9,0,76,4,6,6,25,0,0,0,0,0,4091.0,3628.0,3697.1
2020-06-22,3234,27.9,22.5,0,85,3,0,6,26,0,0,0,0,0,3036.0,3150.0,3612.6
2020-06-23,3014,30.3,20.4,1,88,2,1,6,26,0,0,0,0,0,3234.0,3178.0,3624.6
2020-06-24,4953,28.1,22.5,0,78,4,2,6,26,1,0,0,0,1,3014.0,4401.0,3601.1
2020-06-25,3424,31.0,21.1,1,83,1,3,6,26,0,0,0,0,0,4953.0,3632.0,3680.0
2020-06-26,3112,34.3,17.0,0,86,1,4,6,26,0,0,0,0,0,3424.0,3800.0,3650.3
2020-06-27,3250,28.4,23.5,2,75,5,5,6,26,0,0,0,0,0,3112.0,4091.0,3552.0
2020-06-28,3955,29.3,20.1,0,88,5,6,6,26,0,0,0,0,0,3250.0,3036.0,3431.9
2020-06-29,2815,29.8,21.2,0,74,1,0,6,27,0,0,0,0,0,3955.0,3234.0,3563.1
2020-06-30,3538,32.6,17.3,0,73,3,1,6,27,0,0,0,0,0,2815.0,3014.0,3503.3
2020-07-01,3312,31.8,24.0,2,64,2,2,7,27,0,0,0,0,0,3538.0,4953.0,3578.1
2020-07-02,3401,30.3,25.2,2,74,1,3,7,27,0,0,0,0,0,3312.0,3424.0,3343.7
2020-07-03,3036,29.5,26.9,0,71,2,4,7,27,0,0,0,0,0,3401.0,3112.0,3340.4
2020-07-04,4098,31.9,25.8,1,75,6,5,7,27,0,0,0,0,0,3036.0,3250.0,3329.6
2020-07-05,3984,31.1,24.1,2,86,4,6,7,27,0,0,0,0,0,4098.0,3955.0,3450.7
2020-07-06,3160,36.0,19.9,0,62,2,0,7,28,0,0,0,0,0,3984.0,2815.0,3454.9
2020-07-07,3117,35.5,23.3,0,60,3,1,7,28,0,0,0,0,0,3160.0,3538.0,3504.1
2020-07-08,3284,29.9,21.8,0,72,2,2,7,28,0,0,0,0,0,3117.0,3312.0,3444.0
2020-07-09,3580,30.6,23.5,0,84,1,3,7,28,0,0,0,0,0,3284.0,3401.0,3440.0
2020-07-10,2993,32.1,20.6,2,82,1,4,7,28,0,0,0,0,0,3580.0,3036.0,3465.6
2020-07-11,3004,34.8,22.6,2,72,5,5,7,28,0,0,0,0,0,2993.0,4098.0,3459.4
2020-07-12,3498,32.1,22.0,1,91,6,6,7,28,0,0,0,0,0,3004.0,3984.0,3303.1
2020-07-13,3576,30.7,21.9,0,73,2,0,7,29,0,0,0,0,0,3498.0,3160.0,3233.7
2020-07-14,3351,31.9,21.9,0,84,1,1,7,29,0,0,0,0,0,3576.0,3117.0,3293.1
2020-07-15,3958,30.7,22.7,1,76,2,2,7,29,0,0,0,0,0,3351.0,3284.0,3326.6
2020-07-16,2962,33.2,23.6,2,71,5,3,7,29,0,0,0,0,0,3958.0,3580.0,3422.9
2020-07-17,3543,30.6,18.0,2,73,3,4,7,29,0,0,0,0,0,2962.0,2993.0,3334.6
2020-07-18,3942,31.0,18.2,1,87,6,5,7,29,0,0,0,0,0,3543.0,3004.0,3413.1
2020-07-19,3929,34.3,22.3,1,83,6,6,7,29,0,0,0,0,0,3942.0,3498.0,3547.1
2020-07-20,3737,30.5,22.6,0,89,3,0,7,30,0,0,0,0,0,3929.0,3576.0,3608.7
2020-07-21,3358,29.1,23.4,0,83,3,1,7,30,0,0,0,0,0,3737.0,3351.0,3631.7
2020-07-22,2690,32.2,21.5,2,63,1,2,7,30,0,0,0,0,0,3358.0,3958.0,3632.7
2020-07-23,4203,31.3,23.0,1,101,2,3,7,30,0,0,0,0,0,2690.0,2962.0,3451.6
2020-07-24,4166,33.0,23.3,0,83,2,4,7,30,0,0,0,0,0,4203.0,3543.0,3628.9
2020-07-25,4028,32.6,21.5,0,85,6,5,7,30,0,0,0,0,0,4166.0,3942.0,3717.9
2020-07-26,3820,31.9,25.0,1,76,5,6,7,30,0,0,0,0,0,4028.0,3929.0,3730.1
2020-07-27,3421,31.9,23.4,0,91,2,0,7,31,0,0,0,0,0,3820.0,3737.0,3714.6
2020-07-28,3464,30.5,24.1,0,69,2,1,7,31,0,0,0,0,0,3421.0,3358.0,3669.4
2020-07-29,4240,32.2,23.1,0,86,2,2,7,31,0,0,0,0,0,3464.0,2690.0,3684.6
2020-07-30,2592,33.8,27.2,1,59,2,3,7,31,0,0,0,0,0,4240.0,4203.0,3906.0
2020-07-31,3912,30.1,24.2,1,86,1,4,7,31,0,0,0,0,0,2592.0,4166.0,3675.9
2020-08-01,3314,32.0,22.0,0,69,7,5,8,31,0,0,0,0,0,3912.0,4028.0,3639.6
2020-08-02,3363,34.1,24.6,1,82,7,6,8,31,0,0,0,0,0,3314.0,3820.0,3537.6
2020-08-03,4477,33.0,19.7,0,93,4,0,8,32,0,0,0,0,0,3363.0,3421.0,3472.3
2020-08-04,3357,34.6,23.2,0,88,1,1,8,32,0,0,0,0,0,4477.0,3464.0,3623.1
2020-08-05,3942,30.9,23.6,1,92,1,2,8,32,0,0,0,0,0,3357.0,4240.0,3607.9
2020-08-06,3314,28.3,23.3,1,91,1,3,8,32,0,0,0,0,0,3942.0,2592.0,3565.3
2020-08-07,3770,32.4,22.3,2,74,2,4,8,32,0,0,0,0,0,3314.0,3912.0,3668.4
2020-08-08,3088,32.7,21.0,1,85,4,5,8,32,0,0,0,0,0,3770.0,3314.0,3648.1
2020-08-09,3686,34.7,21.4,0,62,4,6,8,32,0,0,0,0,0,3088.0,3363.0,3615.9
2020-08-10,3468,34.4,23.2,0,73,1,0,8,33,0,0,0,0,0,3686.0,4477.0,3662.0
2020-08-11,4103,33.1,20.8,0,93,1,1,8,33,0,0,0,0,0,3468.0,3357.0,3517.9
2020-08-12,3838,33.5,26.5,0,76,3,2,8,33,0,0,0,0,0,4103.0,3942.0,3624.4
2020-08-13,2811,31.6,17.7,0,61,2,3,8,33,0,0,0,0,0,3838.0,3314.0,3609.6
2020-08-14,3468,29.6,22.4,3,100,1,4,8,33,0,0,0,0,0,2811.0,3770.0,3537.7
2020-08-15,11707,32.2,23.2,0,85,6,5,8,33,1,1,1,1,1,3468.0,3088.0,3494.6
2020-08-16,3996,34.0,24.0,2,87,5,6,8,33,0,0,0,0,0,11707.0,3686.0,4725.9
2020-08-17,3618,33.3,21.2,1,70,4,0,8,34,0,0,0,0,0,3996.0,3468.0,4770.1
2020-08-18,3640,33.7,25.3,1,82,4,1,8,34,0,0,0,0,0,3618.0,4103.0,4791.6
2020-08-19,3988,31.1,20.2,0,82,4,2,8,34,0,0,0,0,0,3640.0,3838.0,4725.4
2020-08-20,3619,31.5,21.9,0,71,3,3,8,34,0,0,0,0,0,3988.0,2811.0,4746.9
2020-08-21,3429,33.0,24.2,0,78,3,4,8,34,0,0,0,0,0,3619.0,3468.0,4862.3
2020-08-22,3626,30.9,25.1,0,64,5,5,8,34,0,0,0,0,0,3429.0,11707.0,4856.7
2020-08-23,4424,31.0,20.2,1,76,8,6,8,34,0,0,0,0,0,3626.0,3996.0,3702.3
2020-08-24,3928,32.6,28.3,0,89,2,0,8,35,0,0,0,0,0,4424.0,3618.0,3763.4
2020-08-25,3504,33.5,21.2,0,72,1,1,8,35,0,0,0,0,0,3928.0,3640.0,3807.7
2020-08-26,4631,31.6,20.4,1,99,4,2,8,35,0,0,0,0,0,3504.0,3988.0,3788.3
2020-08-27,3408,29.7,24.0,0,65,1,3,8,35,0,0,0,0,0,4631.0,3619.0,3880.1
2020-08-28,3001,30.5,22.3,2,77,2,4,8,35,0,0,0,0,0,3408.0,3429.0,3850.0
2020-08-29,3544,32.4,22.0,3,73,4,5,8,35,0,0,0,0,0,3001.0,3626.0,3788.9
2020-08-30,3324,32.4,24.2,2,78,6,6,8,35,0,0,0,0,0,3544.0,4424.0,3777.1
2020-08-31,3504,32.5,19.9,0,93,2,0,8,36,0,0,0,0,0,3324.0,3928.0,3620.0
2020-09-01,2886,29.0,15.6,0,70,2,1,9,36,0,0,0,0,0,3504.0,3504.0,3559.4
2020-09-02,3462,28.0,17.8,2,75,1,2,9,36,0,0,0,0,0,2886.0,4631.0,3471.1
2020-09-03,3766,28.5,21.2,0,86,3,3,9,36,0,0,0,0,0,3462.0,3408.0,3304.1
2020-09-04,3317,27.9,17.9,3,80,1,4,9,36,0,0,0,0,0,3766.0,3001.0,3355.3
2020-09-05,3344,30.3,22.2,3,81,4,5,9,36,0,0,0,0,0,3317.0,3544.0,3400.4
2020-09-06,2964,30.9,21.4,2,70,4,6,9,36,0,0,0,0,0,3344.0,3324.0,3371.9
2020-09-07,3317,25.6,19.6,0,79,2,0,9,37,0,0,0,0,0,2964.0,3504.0,3320.4
2020-09-08,4019,27.5,19.7,0,91,1,1,9,37,0,0,0,0,0,3317.0,2886.0,3293.7
2020-09-09,3543,28.1,19.6,2,63,3,2,9,37,0,0,0,0,0,4019.0,3462.0,3455.6
2020-09-10,3559,27.5,19.3,0,73,3,3,9,37,0,0,0,0,0,3543.0,3766.0,3467.1
2020-09-11,3269,31.6,18.3,0,61,2,4,9,37,0,0,0,0,1,3559.0,3317.0,3437.6
2020-09-12,3884,28.4,18.5,0,85,4,5,9,37,0,0,0,0,0,3269.0,3344.0,3430.7
2020-09-13,4444,26.4,16.9,2,92,4,6,9,37,0,0,0,0,0,3884.0,2964.0,3507.9
